,address,coordinates
11571,"ул. Первомайская, д. 56, Москва","[37.793186, 55.7928391]"
11572,"ул. Первомайская, д. 81, Москва","[37.8016947, 55.7934594]"
11573,"ул. Первомайская, д. 86/18, Москва","[37.80609078923637, 55.792826250000005]"
11574,"пер. Переведеновский, д. 3, Москва","[37.683452328, 55.77717035]"
11575,"ул. Перекопская, д. 1, к. 1, Москва","[37.58513076657182, 55.65791795]"
11576,"ул. Перекопская, д. 3, Москва","[37.58425945590659, 55.6582289]"
11577,"ул. Перекопская, д. 5, Москва","[37.583380555906594, 55.6585373]"
11578,"ул. Перекопская, д. 11, к. 1, Москва","[37.57879102576449, 55.65885985]"
11579,"ул. Перекопская, д. 11, к. 4, Москва","[37.57785175357142, 55.656530599999996]"
11580,"ул. Перекопская, д. 14, к. 2, Москва","[37.57987898320306, 55.6607219]"
11581,"ул. Перекопская, д. 17, к. 5, Москва","[37.5701455, 55.65959695]"
11582,"ул. Перекопская, д. 21, к. 1, Москва","[37.56711617680109, 55.66080665]"
11583,"ул. Перерва, д. 2, Москва","[37.713869888139655, 55.65486055]"
11584,"ул. Перерва, д. 4, Москва","[37.71465138813966, 55.65465195]"
11585,"ул. Перерва, д. 6, Москва","[37.71544118813965, 55.65443695]"
11586,"ул. Перерва, д. 10, Москва","[37.7185379, 55.6530047]"
11587,"ул. Перерва, д. 12, Москва","[37.72169155, 55.6516785]"
11588,"ул. Перерва, д. 20, Москва","[37.725359654687495, 55.651243300000004]"
11589,"б-р. Перервинский, д. 3, Москва","[37.76543744441746, 55.66351684999999]"
11590,"б-р. Перервинский, д. 7, к. 1, Москва","[37.76638613671443, 55.662723650000004]"
11591,"б-р. Перервинский, д. 15, к. 2, Москва","[37.772221699999996, 55.6586198]"
11592,"б-р. Перервинский, д. 17, к. 1, Москва","[37.7717054364761, 55.6575772]"
11593,"б-р. Перервинский, д. 19, к. 1, Москва","[37.7718895, 55.65721585]"
11594,"б-р. Перервинский, д. 19, к. 2, Москва","[37.77328715682832, 55.657608350000004]"
11595,"б-р. Перервинский, д. 21, к. 3, Москва","[37.774450119694386, 55.6572382]"
11596,"б-р. Перервинский, д. 27, к. 2, Москва","[37.77626387423767, 55.655125999999996]"
11597,"б-р. Перервинский, д. 27, к. 1, Москва","[37.77492274171884, 55.65468835]"
11598,"ул. Перовская, д. 4, к. 2, Москва","[37.7553856, 55.746779200000006]"
11599,"ул. Перовская, д. 4, к. 1, Москва","[37.75528755321342, 55.747061]"
11600,"ул. Перовская, д. 6, к. 2, Москва","[37.75702365, 55.7467365]"
11601,"ул. Перовская, д. 6, к. 1, Москва","[37.7569217496885, 55.74700245]"
11602,"ул. Перовская, д. 8, к. 2, Москва","[37.758760699999996, 55.7466558]"
11603,"ул. Перовская, д. 8, к. 1, Москва","[37.7587276, 55.7470385]"
11604,"ул. Перовская, д. 10, к. 2, Москва","[37.760458549999996, 55.7465519]"
11605,"ул. Перовская, д. 10, к. 1, Москва","[37.76053, 55.7469859]"
11606,"ул. Перовская, д. 13, к. 2, Москва","[37.7623122, 55.74786305]"
11607,"ул. Перовская, д. 13, к. 1, Москва","[37.762127941957345, 55.7476445]"
11608,"ул. Перовская, д. 25, Москва","[37.77046042449788, 55.7469847]"
11609,"ул. Перовская, д. 29, к. 1, Москва","[37.772969349655284, 55.7467997]"
11610,"ул. Перовская, д. 29, к. 2, Москва","[37.77384452481746, 55.747022]"
11611,"ул. Перовская, д. 33, к. 1, Москва","[37.77588873573979, 55.747376849999995]"
11612,"ул. Перовская, д. 33, к. 2, Москва","[37.776589399883505, 55.747919249999995]"
11613,"ул. Перовская, д. 39, к. 3, Москва","[37.78068111587528, 55.74723145]"
11614,"ул. Перовская, д. 39, к. 1, Москва","[37.77962205, 55.74640655]"
11615,"ул. Перовская, д. 43, Москва","[37.78359435872117, 55.7462279]"
11616,"ул. Перовская, д. 50, к. 4, Москва","[37.78511674029586, 55.744612450000005]"
11617,"ул. Перовская, д. 50, к. 5, Москва","[37.784040065832485, 55.74478855]"
11618,"ул. Перовская, д. 66, к. 9, Москва","[37.80708557604797, 55.743721050000005]"
11619,"проезд. Перовский, д. 7, Москва","[37.70279535099338, 55.7443146]"
11620,"проезд. Перовский, д. 9, Москва","[37.703607556610635, 55.74421585]"
11621,"ш. Перовское, д. 10, к. 1, Москва","[37.7468848864916, 55.73557975]"
11622,"ул. Песчаная, д. 4, Москва","[37.5173185, 55.794648]"
11623,"ул. Песчаная, д. 6, Москва","[37.514459900000006, 55.8032958]"
11624,"ул. Песчаная, д. 8, Москва","[37.51406368587888, 55.7954022]"
11625,"ул. Песчаная, д. 13, Москва","[37.50817593534249, 55.80109025]"
11626,"пер. Песчаный, д. 4, Москва","[37.5097801, 55.8008124]"
11627,"аллея. Петровско-Разумовская, д. 10, к. 1, Москва","[37.5636271, 55.7935198]"
11628,"аллея. Петровско-Разумовская, д. 16, Москва","[37.559137260336676, 55.79614755]"
11629,"проезд. Петровско-Разумовский, д. 9, стр. 1, Москва","[37.568390353438474, 55.796230449999996]"
11630,"проезд. Петровско-Разумовский, д. 20, Москва","[37.56695335874439, 55.799659750000004]"
11631,"проезд. Петровско-Разумовский, д. 24, к. 19, Москва","[37.5656971, 55.8038408]"
11632,"ул. Петрозаводская, д. 6, Москва","[37.504914850000006, 55.8638081]"
11633,"ул. Петрозаводская, д. 12, Москва","[37.50142238326891, 55.8648723]"
11634,"ул. Петрозаводская, д. 18, Москва","[37.49808250000001, 55.866013949999996]"
11635,"ул. Петрозаводская, д. 24, к. 1, Москва","[37.49483791663825, 55.867158450000005]"
11636,"ул. Петрозаводская, д. 28, к. 2, Москва","[37.49031306701502, 55.86970775]"
11637,"ул. Петрозаводская, д. 30, Москва","[37.49114834920133, 55.8673989]"
11638,"ул. Печорская, д. 2, Москва","[37.67200375, 55.863663200000005]"
11639,"ул. Печорская, д. 4, Москва","[37.67057730018262, 55.8638814]"
11640,"ул. Печорская, д. 6, Москва","[37.66917740018269, 55.864104350000005]"
11641,"ул. Печорская, д. 8, Москва","[37.66777529909834, 55.86432805]"
11642,"ул. Пивченкова, д. 1, к. 3, Москва","[37.475628347807444, 55.73284445]"
11643,"ул. Пивченкова, д. 3, к. 3, Москва","[37.47550062493561, 55.73394655]"
11644,"ул. Пивченкова, д. 7, Москва","[37.4762481, 55.7351328]"
11645,"проезд. Плавский, д. 8, Москва","[37.5331352, 55.5480289]"
11646,"проезд. Плавский, д. 8, к. 1, Москва","[37.53190545510242, 55.548165499999996]"
11647,"ул. Планерная, д. 3, к. 2, Москва","[37.4306376, 55.859542]"
11648,"ул. Планерная, д. 5, к. 3, Москва","[37.43021937400945, 55.86100565]"
11649,"ул. Планерная, д. 7, к. 4, Москва","[37.432681, 55.8620988]"
11650,"ул. Планерная, д. 18, к. 1, Москва","[37.44028742572142, 55.86667205]"
11651,"ул. Планерная, д. 20, к. 1, Москва","[37.43867132483637, 55.8666754]"
11652,"ул. Планерная, д. 22, к. 1, Москва","[37.43935960257213, 55.86776515]"
11653,"ул. Планетная, д. 11, Москва","[37.54990272415898, 55.79945065]"
11654,"ул. Планетная, д. 29, к. 2, Москва","[37.543756106810235, 55.80257135]"
11655,"пер. Плетешковский, д. 18-20, к. 1, Москва","[37.6746434692964, 55.76987295]"
11656,"пер. Плетешковский, д. 18-20, к. 2, Москва","[37.674614547335125, 55.76945739999999]"
11657,"ул. Плеханова, д. 16, к. 1, Москва","[37.7652189, 55.7450053]"
11658,"ул. Плеханова, д. 20, Москва","[37.7663582, 55.743256]"
11659,"ул. Плеханова, д. 24, к. 1, Москва","[37.76743199683236, 55.74130875]"
11660,"ул. Плеханова, д. 25, к. 1, Москва","[37.767062294171645, 55.7443494]"
11661,"ул. Плеханова, д. 25, к. 2, Москва","[37.76723200757226, 55.74409]"
11662,"ул. Плеханова, д. 25, к. 3, Москва","[37.76740298218772, 55.74382885]"
11663,"ул. Плеханова, д. 25, к. 4, Москва","[37.76757060289785, 55.743569949999994]"
11664,"ул. Плеханова, д. 25, к. 5, Москва","[37.76775319478034, 55.743312599999996]"
11665,"ул. Плеханова, д. 26, к. 3, Москва","[37.766068977162334, 55.74024605]"
11666,"ул. Плеханова, д. 30, Москва","[37.7684752, 55.7391703]"
11667,"ул. Плеханова, д. 31, к. 1, Москва","[37.76928806308413, 55.741447300000004]"
11668,"ул. Плеханова, д. 31, к. 2, Москва","[37.770269758715884, 55.7413556]"
11669,"ул. Плеханова, д. 33, Москва","[37.76957500534237, 55.74092095]"
11670,"ул. Плеханова, д. 35, Москва","[37.7702819, 55.740382350000004]"
11671,"ул. Плещеева, д. 6, Москва","[37.60703, 55.8841816]"
11672,"ул. Плещеева, д. 6А, Москва","[37.60872342136349, 55.8835701]"
11673,"ул. Плещеева, д. 8, Москва","[37.6070688, 55.8843142]"
11674,"ул. Плещеева, д. 10, Москва","[37.61042438401783, 55.8853361]"
11675,"ул. Плещеева, д. 14, Москва","[37.612875927683426, 55.8861354]"
11676,"ул. Плещеева, д. 14А, Москва","[37.612569594162466, 55.88525045]"
11677,"ул. Плещеева, д. 16, Москва","[37.61359692105406, 55.8870738]"
11678,"ул. Плещеева, д. 18, Москва","[37.61497070051975, 55.8873028]"
11679,"ул. Плещеева, д. 22, Москва","[37.617207492228125, 55.88794415]"
11680,"ул. Плещеева, д. 22А, Москва","[37.61706259781633, 55.8871317]"
11681,"ул. Плещеева, д. 24, Москва","[37.61793291610569, 55.88890265]"
11682,"ул. Плещеева, д. 26, Москва","[37.61926629072713, 55.889120649999995]"
11683,"ул. Плещеева, д. 28, Москва","[37.62248025057657, 55.88932465]"
11684,"ул. Плющева, д. 14, Москва","[37.7609512, 55.7430118]"
11685,"ул. Плющева, д. 15, к. 4, Москва","[37.7630323, 55.74072045]"
11686,"ул. Плющева, д. 17, к. 2, Москва","[37.76246915, 55.7394962]"
11687,"ул. Плющева, д. 18, к. 2, Москва","[37.76069099698546, 55.741221350000004]"
11688,"ул. Плющева, д. 18, к. 1, Москва","[37.7603868, 55.7415735]"
11689,"пл. Победы, д. 1, к. А, Москва","[37.5185132, 55.7362376]"
11690,"пл. Победы, д. 1, к. Б, Москва",0
11691,"пл. Победы, д. 2, к. 3, Москва","[37.5209007, 55.7385156]"
11692,"пл. Победы, д. 2, к. 2, Москва","[37.517407, 55.7373334]"
11693,"пл. Победы, д. 2, к. 1, Москва","[37.5210102, 55.737607]"
11694,"ул. Погодинская, д. 14, Москва","[37.565646331334975, 55.7316603]"
11695,"проезд. Погонный, д. 3, к. 2, Москва","[37.703643134716415, 55.81903545]"
11696,"проезд. Погонный, д. 5, к. 2, Москва","[37.705287994290714, 55.81946935]"
11697,"проезд. Погонный, д. 5, к. 4, Москва","[37.70619710322529, 55.81966005]"
11698,"проезд. Погонный, д. 7, к. 2, Москва","[37.70780146907301, 55.8197732]"
11699,"проезд. Погонный, д. 25, Москва","[37.7151590953951, 55.8190958]"
11700,"ул. Подольская, д. 1, Москва","[37.71252895000001, 55.654462300000006]"
11701,"ул. Подольская, д. 11, Москва","[37.711485350000004, 55.6532853]"
11702,"ул. Подольская, д. 17, Москва","[37.71047445, 55.65210495]"
11703,"ул. Подольская, д. 23, Москва","[37.70948564999999, 55.650949049999994]"
11704,"ул. Подольская, д. 31, Москва","[37.70945170000002, 55.648745899999994]"
11705,"ул. Подольская, д. 33, Москва","[37.710120414925285, 55.6482905]"
11706,"ул. Подольских Курсантов, д. 2, к. 1, Москва","[37.610430104092245, 55.6078581]"
11707,"пер. Подъемный, д. 3, Москва","[37.71019685, 55.7378353]"
11708,"пер. Подъемный, д. 5, Москва","[37.7103283, 55.7382657]"
11709,"ул. Полбина, д. 9, к. 1, Москва","[37.730090647707655, 55.68049835]"
11710,"ул. Полбина, д. 9, к. 2, Москва","[37.729742716499075, 55.68024065]"
11711,"ул. Полбина, д. 9 к.1, Москва",0
11712,"ул. Полбина, д. 9 к. 2, Москва",0
11713,"ул. Полбина, д. 23, к. 2, Москва","[37.72739125770114, 55.676080999999996]"
11714,"ул. Полбина, д. 23, к. 1, Москва","[37.727698973057684, 55.67631025]"
11715,"ул. Полбина, д. 23 к.1, Москва",0
11716,"ул. Полбина, д. 23 к.2, Москва",0
11717,"ул. Полбина, д. 34, Москва","[37.72806537964921, 55.6827114]"
11718,"ул. Полбина, д. 48, Москва","[37.72695125, 55.67905665]"
11719,"ул. Полбина, д. 64, Москва","[37.7234607229132, 55.671460350000004]"
11720,"ул. Полбина, д. 66, Москва","[37.72339121249053, 55.670934599999995]"
11721,"ул. Поликарпова, д. 8, Москва","[37.55260863288487, 55.777023400000004]"
11722,"ул. Поликарпова, д. 21, к. 4, Москва","[37.54482256772971, 55.778053549999996]"
11723,"ул. Полимерная, д. 3, Москва","[37.79410565820682, 55.74603825]"
11724,"ул. Полосухина, д. 1, стр. 28, Москва","[37.460883825131575, 55.7353993]"
11725,"ул. Полоцкая, д. 27, Москва","[37.423668699538624, 55.7353404]"
11726,"ул. Полоцкая, д. 29, к. 1, Москва","[37.422935549991195, 55.7361458]"
11727,"ул. Полоцкая, д. 29, к. 2, Москва","[37.4231090004683, 55.7358785]"
11728,"ул. Полярная, д. 34, к. 1, Москва","[37.6435505, 55.88497115]"
11729,"ул. Полярная, д. 36, Москва","[37.643828, 55.88528895]"
11730,"ул. Полярная, д. 40, Москва","[37.6445794, 55.88602515]"
11731,"ул. Полярная, д. 42, Москва","[37.64485685, 55.88634295]"
11732,"ул. Полярная, д. 46, Москва","[37.64557585, 55.88711235]"
11733,"ул. Полярная, д. 48, Москва","[37.645833350000004, 55.88743855]"
11734,"ул. Полярная, д. 54, к. 4, Москва","[37.64975856580769, 55.8916915]"
11735,"ул. Полярная, д. 56, к. 1, Москва","[37.64769419229493, 55.892689649999994]"
11736,"ул. Попутная, д. 1, к. 2, Москва","[37.3827984, 55.655024850000004]"
11737,"ул. Попутная, д. 5, Москва","[37.38492358598677, 55.654518550000006]"
11738,"пер. Порядковый, д. 1, Москва","[37.591119689018655, 55.78684045]"
11739,"пер. Посланников, д. 3, стр. 5, Москва","[37.6809374, 55.7701954]"
11740,"пер. Посланников, д. 11/14, Москва","[37.68366277393505, 55.770466400000004]"
11741,"пер. Последний, д. 15, Москва","[37.628325596149715, 55.77021175]"
11742,"пл. Преображенская, д. 4, Москва","[37.709999859828606, 55.794492149999996]"
11743,"пл. Преображенская, д. 6, Москва","[37.7116531, 55.7948332]"
11744,"ул. Преображенский Вал, д. 16, Москва","[37.71437612362182, 55.79264525]"
11745,"ул. Пресненский Вал, д. 16, стр. 2, Москва","[37.565062, 55.7672186]"
11746,"ул. Пресненский Вал, д. 40, Москва","[37.57097636324637, 55.77093975]"
11747,"ул. Пресненский Вал, д. 42, Москва","[37.571283040369245, 55.771515199999996]"
11748,"проезд. Прибрежный, д. 7, Москва","[37.46518189595699, 55.874756149999996]"
11749,"ул. Привольная, д. 1, к. 3, Москва","[37.84278156536347, 55.702236049999996]"
11750,"ул. Привольная, д. 5, к. 3, Москва","[37.841298060848125, 55.7009721]"
11751,"ул. Привольная, д. 9, к. 3, Москва","[37.83973328101392, 55.6997183]"
11752,"ул. Привольная, д. 73, к. 1, Москва","[37.853313360359316, 55.67946615]"
11753,"ул. Привольная, д. 75, к. 1, Москва","[37.854830689998764, 55.67873095]"
11754,"ул. Привольная, д. 77, Москва","[37.85624008670285, 55.678050999999996]"
11755,"ул. Приорова, д. 38а, Москва","[37.52023290955644, 55.82502925]"
11756,"ул. Приорова, д. 40, к. 2, Москва","[37.520090499144246, 55.8257317]"
11757,"ул. Пришвина, д. 3, Москва","[37.592863, 55.889831]"
11758,"ул. Пришвина, д. 9/2, Москва","[37.597631107337264, 55.889864599999996]"
11759,"ул. Пришвина, д. 11, Москва","[37.59880325, 55.888969]"
11760,"ул. Пришвина, д. 13, Москва","[37.600919149999996, 55.8886166]"
11761,"ул. Пришвина, д. 17, Москва","[37.60331466767167, 55.887019499999994]"
11762,"ул. Пришвина, д. 19, Москва","[37.603787919782604, 55.886457899999996]"
11763,"ул. Пришвина, д. 21, Москва","[37.6074848, 55.8859245]"
11764,"пр-кт. Пролетарский, д. 14/49, к. 1, Москва","[37.6547429, 55.6367857]"
11765,"пр-кт. Пролетарский, д. 14/49, к. 2, Москва","[37.6538032, 55.636881]"
11766,"пр-кт. Пролетарский, д. 14/49, к. 3, Москва","[37.6527831, 55.6368716]"
11767,"ул. Просторная, д. 8, Москва","[37.717653432607264, 55.80468115]"
11768,"ул. Просторная, д. 12, к. 3, Москва","[37.72159118811736, 55.804482199999995]"
11769,"ул. Просторная, д. 14, к. 2, Москва","[37.72285807029063, 55.8046829]"
11770,"ул. Профсоюзная, д. 42, к. 3, Москва","[37.55444610894016, 55.675523299999995]"
11771,"ул. Профсоюзная, д. 94, Москва","[37.5287428788847, 55.6482782]"
11772,"ул. Профсоюзная, д. 98, к. 10, Москва","[37.5196589, 55.6496134]"
11773,"ул. Профсоюзная, д. 98, к. 9, Москва","[37.5205546, 55.6482656]"
11774,"ул. Профсоюзная, д. 102, к. /47, Москва",0
11775,"ул. Профсоюзная, д. 105, Москва","[37.52337063892702, 55.63534075]"
11776,"ул. Профсоюзная, д. 116, к. 3, Москва","[37.51847883295389, 55.6389965]"
11777,"ул. Профсоюзная, д. 132, к. 4, Москва","[37.51033578670153, 55.630587899999995]"
11778,"ул. Профсоюзная, д. 142, к. 4, Москва","[37.50558937262728, 55.6265557]"
11779,"ул. Профсоюзная, д. 142, к. 2, Москва","[37.50728495544284, 55.62594895]"
11780,"ул. Проходчиков, д. 4, Москва","[37.721398645552085, 55.87469]"
11781,"ул. Проходчиков, д. 8, Москва","[37.72275204122101, 55.87551185]"
11782,"ул. Проходчиков, д. 10, к. 1, Москва","[37.72306651869913, 55.87615925]"
11783,"ул. Проходчиков, д. 10, к. 2, Москва","[37.7243735, 55.8756981]"
11784,"ул. Проходчиков, д. 16, Москва","[37.72422992209881, 55.8769918]"
11785,"ул. Проходчиков, д. 17, Москва","[37.72389856986395, 55.87825935]"
11786,"ул. Псковская, д. 2, к. 2, Москва","[37.55563862404861, 55.902410700000004]"
11787,"ул. Псковская, д. 12, к. 2, Москва","[37.55444330386254, 55.90463295]"
11788,"пер. Пуговишников, д. 4, Москва","[37.586725610187194, 55.732888349999996]"
11789,"ул. Пулковская, д. 15, к. 2, Москва","[37.4852671, 55.8462308]"
11790,"проезд. Путевой, д. 20, к. 1, Москва","[37.57662779999997, 55.87520725]"
11791,"проезд. Путевой, д. 22а, Москва","[37.57566451653514, 55.87493755]"
11792,"проезд. Путевой, д. 24, Москва","[37.5736185, 55.87458325]"
11793,"проезд. Путевой, д. 28, Москва","[37.57242777423927, 55.875218849999996]"
11794,"проезд. Путевой, д. 32, Москва","[37.571243974681465, 55.87589145]"
11795,"проезд. Путевой, д. 36, Москва","[37.57055647516409, 55.87675055]"
11796,"проезд. Путевой, д. 42, Москва","[37.57103666087336, 55.8786303]"
11797,"проезд. Путевой, д. 44, Москва","[37.57186215526887, 55.87914985]"
11798,"ул. Пырьева, д. 9, Москва","[37.5251142, 55.7267353]"
11799,"ул. Пырьева, д. 14, Москва","[37.524424, 55.7283372]"
11800,"ул. Пырьева, д. 16, Москва","[37.5241742, 55.7288718]"
11801,"ул. Пырьева, д. 18, Москва","[37.52594629681196, 55.72870295]"
11802,"ул. Пырьева, д. 20, Москва","[37.525578896596215, 55.7291745]"
11803,"ул. Пырьева, д. 22, Москва","[37.52726853599421, 55.72901885]"
11804,"ул. Пырьева, д. 24, Москва","[37.5269098979409, 55.7295249]"
11805,"ул. Рабочая, д. 4, Москва","[37.6811695, 55.745261]"
11806,"ул. Рабочая, д. 4А, Москва","[37.680480425274304, 55.74481025]"
11807,"ул. Рабочая, д. 13, Москва","[37.69671312444396, 55.73821005]"
11808,"ул. Рабочая, д. 14, Москва","[37.68323688383481, 55.74367185]"
11809,"ул. Рабочая, д. 25, Москва","[37.68496266728882, 55.74325335]"
11810,"ул. Радужная, д. 3, к. 1, Москва","[37.67210419357103, 55.8602092]"
11811,"ул. Радужная, д. 3, к. 2, Москва","[37.67185397846271, 55.8593116]"
11812,"ул. Радужная, д. 5, к. 1, Москва","[37.6707257, 55.8601984]"
11813,"ул. Радужная, д. 5, к. 2, Москва","[37.67094546827957, 55.859928]"
11814,"ул. Радужная, д. 16, Москва","[37.66530843933415, 55.86053815]"
11815,"б-р. Ракетный, д. 9, к. 1, Москва","[37.650685249999995, 55.8190206]"
11816,"б-р. Ракетный, д. 11, к. 1, Москва","[37.651735, 55.819018299999996]"
11817,"б-р. Ракетный, д. 13, к. 1, Москва","[37.652759450000005, 55.8190112]"
11818,"б-р. Ракетный, д. 15, Москва","[37.65375435, 55.8190064]"
11819,"б-р. Ракетный, д. 17, Москва","[37.6556288738246, 55.8192288]"
11820,"ул. Расковой, д. 24, стр. а, Москва","[37.57463405, 55.788737499999996]"
11821,"ул. Расковой, д. 26/29, Москва","[37.575562103237914, 55.788918]"
11822,"ул. Расплетина, д. 28, Москва","[37.4837309, 55.7957264]"
11823,"ул. Ратная, д. 8, к. 3, Москва","[37.58112175077103, 55.573756149999994]"
11824,"ул. Ратная, д. 8, к. 2, Москва","[37.5821337, 55.5738989]"
11825,"ул. Ратная, д. 8, к. 1, Москва","[37.58386031622963, 55.5740496]"
11826,"ул. Ратная, д. 10, к. 1, Москва","[37.578532584300675, 55.574487399999995]"
11827,"ул. Ратная, д. 12, к. 1, Москва","[37.575185215034104, 55.5751528]"
11828,"ул. Ратная, д. 16, к. 1, Москва","[37.569719362085934, 55.57627665]"
11829,"ул. Ремизова, д. 2, Москва","[37.595710288365574, 55.678500549999995]"
11830,"ул. Ремизова, д. 14, к. 1, Москва","[37.60339775945637, 55.6744684]"
11831,"ул. Ремизова, д. 15, к. 1, Москва","[37.60456135993661, 55.67545585]"
11832,"ул. Речников, д. 14, к. 1, Москва","[37.69352837901399, 55.68507555]"
11833,"ул. Речников, д. 14, к. 2, Москва","[37.69286443954604, 55.6845988]"
11834,"ул. Речников, д. 30, Москва","[37.688784600000005, 55.679439450000004]"
11835,"ул. Речников, д. 36, Москва","[37.6879146, 55.677484500000006]"
11836,"ул. Римского-Корсакова, д. 4, Москва","[37.59174689443212, 55.86994515]"
11837,"ул. Римского-Корсакова, д. 8, Москва","[37.5965361, 55.871688]"
11838,"ул. Римского-Корсакова, д. 12, Москва","[37.6016521, 55.8728009]"
11839,"ул. Римского-Корсакова, д. 16, Москва","[37.6068271, 55.8739198]"
11840,"ул. Римского-Корсакова, д. 18, Москва","[37.6085537, 55.8744495]"
11841,"ул. Рогова, д. 2, Москва","[37.4640532, 55.796296749999996]"
11842,"ул. Рогова, д. 12, к. 1, Москва","[37.46118699253387, 55.797361949999996]"
11843,"ул. Рогова, д. 12, к. 2, Москва","[37.460562, 55.7972816]"
11844,"ул. Рогова, д. 15, к. 2, Москва","[37.45780895, 55.7951906]"
11845,"ул. Рогова, д. 24, Москва","[37.45380725679468, 55.79645475]"
11846,"ул. Рогожский Поселок, д. 3, Москва","[37.70075449558672, 55.737782499999994]"
11847,"ул. Рогожский Поселок, д. 5, Москва","[37.70192166733638, 55.73739785]"
11848,"ул. Рогожский Поселок, д. 7, Москва","[37.70299695, 55.7372663]"
11849,"ул. Родионовская, д. 10, к. 1, Москва","[37.3893015, 55.8948331]"
11850,"п. Рязановское, п. Знамя Октября, мкр. Родники, д. 3, Москва",0
11851,"п. Рязановское, п. Знамя Октября, мкр. Родники, д. 7, Москва",0
11852,"ул. Родниковая, д. 20, Москва","[37.384114350000004, 55.633986]"
11853,"ул. Россошанская, д. 1, к. 1, Москва","[37.6074604571784, 55.598064750000006]"
11854,"ул. Россошанская, д. 7, к. 1, Москва","[37.61091748985395, 55.5948468]"
11855,"ул. Россошанская, д. 13, к. 1, Москва","[37.61460905588149, 55.5963803]"
11856,"проезд. Россошанский, д. 2, к. 1, Москва","[37.60764881829863, 55.60194425]"
11857,"проезд. Россошанский, д. 2, к. 2, Москва","[37.60682566618853, 55.60135505]"
11858,"проезд. Россошанский, д. 2, к. 3, Москва","[37.60614170771875, 55.60073195]"
11859,"проезд. Россошанский, д. 4, к. 1, Москва","[37.605580386563034, 55.60005065]"
11860,"проезд. Россошанский, д. 4, к. 2, Москва","[37.60517618040131, 55.5993524]"
11861,"проезд. Россошанский, д. 4, к. 3, Москва","[37.60491511326806, 55.59864125]"
11862,"проезд. Россошанский, д. 8, к. 1, Москва","[37.60568664360025, 55.597086]"
11863,"проезд. Россошанский, д. 8, к. 2, Москва","[37.60504338419871, 55.596383349999996]"
11864,"наб. Ростовская, д. 5, Москва","[37.5743081, 55.7417357]"
11865,"ул. Ростокинская, д. 10, Москва","[37.66534884793978, 55.83279485]"
11866,"ул. Ротерта, д. 3, Москва","[37.72316364999999, 55.87474775]"
11867,"ул. Ротерта, д. 9, Москва","[37.72629717744416, 55.8757329]"
11868,"ул. Ротерта, д. 11, Москва","[37.72584902245697, 55.8763962]"
11869,"ш. Рублевское, д. 127, Москва","[37.40762662256073, 55.750532250000006]"
11870,"наб. Рубцовская, д. 2, к. 1, Москва","[37.6964836, 55.7746076]"
11871,"наб. Рубцовская, д. 2, к. 5, Москва","[37.693484315131826, 55.7730646]"
11872,"ул. Рудневка, д. 2, Москва","[37.8865891, 55.7153893]"
11873,"ул. Рудневка, д. 3, Москва","[37.88028899397088, 55.715348399999996]"
11874,"ул. Рудневка, д. 9, Москва","[37.882820956707555, 55.715877750000004]"
11875,"ул. Рудневка, д. 15, Москва","[37.88552771213702, 55.71638505]"
11876,"ул. Рудневка, д. 18, Москва","[37.893610046501294, 55.71542405]"
11877,"ул. Рудневка, д. 23, Москва","[37.888800378693084, 55.71676345]"
11878,"ул. Рудневка, д. 33, Москва","[37.891243055120086, 55.716843600000004]"
11879,"ул. Рудневка, д. 41, Москва","[37.894434, 55.7166999]"
11880,"пер. Руновский, д. 10, стр. 1, Москва","[37.63335993631038, 55.74266115]"
11881,"ул. Русаковская, д. 25, Москва","[37.6757761784814, 55.78702185]"
11882,"ул. Русаковская, д. 27, Москва","[37.6771102, 55.7868608]"
11883,"ул. Русаковская, д. 29, Москва","[37.677544, 55.7876088]"
11884,"пр-кт. Рязанский, д. 67/2, Москва","[37.7856812, 55.7188131]"
11885,"пр-кт. Рязанский, д. 68, к. 1, Москва","[37.806374152670855, 55.714129150000005]"
11886,"пр-кт. Рязанский, д. 69, Москва","[37.78712141032388, 55.71870255]"
11887,"пр-кт. Рязанский, д. 70, к. 1, Москва","[37.80939737945631, 55.71334895]"
11888,"пр-кт. Рязанский, д. 71, к. 1, Москва","[37.7883987, 55.7183625]"
11889,"пр-кт. Рязанский, д. 71, к. 2, Москва","[37.78788034704738, 55.71907925]"
11890,"пр-кт. Рязанский, д. 72, к. 1, Москва","[37.81238767536132, 55.7125772]"
11891,"пр-кт. Рязанский, д. 76, к. 2, Москва","[37.7691656, 55.7231794]"
11892,"пр-кт. Рязанский, д. 80, к. 3, Москва","[37.7979971, 55.7165555]"
11893,"пр-кт. Рязанский, д. 82, к. 2, Москва","[37.8258369, 55.708118]"
11894,"пр-кт. Рязанский, д. 82, к. 3, Москва","[37.8258703, 55.70783875]"
11895,"пр-кт. Рязанский, д. 83, к. 2, стр. 2, Москва","[37.7691656, 55.7231794]"
11896,"пр-кт. Рязанский, д. 83/2, к. 1, Москва","[37.79817483271364, 55.71708125]"
11897,"пр-кт. Рязанский, д. 85, к. 1, Москва","[37.799473492763155, 55.71682455]"
11898,"пр-кт. Рязанский, д. 85, к. 2, Москва","[37.799579658043115, 55.71711845]"
11899,"пр-кт. Рязанский, д. 87, к. 1, Москва","[37.800844970413095, 55.71656995]"
