,house_id,met_vok_id,route,duration,distance
30,2633,0,"{'coordinates': [[37.630568, 55.736472], [37.630683, 55.736495], [37.630722, 55.736503], [37.630768, 55.73646], [37.630862, 55.736373], [37.631381, 55.736559], [37.632917, 55.735054], [37.633235, 55.735051], [37.633335, 55.734941], [37.633638, 55.734504], [37.635316, 55.731793], [37.635381, 55.731807], [37.635881, 55.731523], [37.635967, 55.731374], [37.636043, 55.731276], [37.636485, 55.730738], [37.636624, 55.730753], [37.637278, 55.730003], [37.637947, 55.730045], [37.637978, 55.729909], [37.640902, 55.730121]], 'type': 'LineString'}",854.527,1156.365
31,2633,1,"{'coordinates': [[37.630568, 55.736472], [37.630683, 55.736495], [37.630722, 55.736503], [37.630768, 55.73646], [37.630862, 55.736373], [37.631381, 55.736559], [37.630243, 55.738445], [37.62996, 55.73904], [37.62979, 55.739785], [37.629651, 55.739848], [37.629464, 55.740756], [37.627561, 55.740878], [37.625663, 55.740903], [37.625664, 55.740775], [37.625659, 55.740638], [37.625048, 55.740608], [37.625051, 55.740978], [37.625142, 55.741124], [37.625692, 55.741177]], 'type': 'LineString'}",710.443,956.668
32,2633,2,"{'coordinates': [[37.630568, 55.736472], [37.630683, 55.736495], [37.630722, 55.736503], [37.630768, 55.73646], [37.630862, 55.736373], [37.631381, 55.736559], [37.630243, 55.738445], [37.62996, 55.73904], [37.62979, 55.739785], [37.629651, 55.739848], [37.629476, 55.740534], [37.629452, 55.74224], [37.629237, 55.742202], [37.629246, 55.742269], [37.629478, 55.742377], [37.629394, 55.742494], [37.629326, 55.742457], [37.629323, 55.742415], [37.629317, 55.742346]], 'type': 'LineString'}",586.927,795.07
33,2633,3,"{'coordinates': [[37.630568, 55.736472], [37.630683, 55.736495], [37.630722, 55.736503], [37.630768, 55.73646], [37.630862, 55.736373], [37.631381, 55.736559], [37.632917, 55.735054], [37.633235, 55.735051], [37.633335, 55.734941], [37.633638, 55.734504], [37.635316, 55.731793], [37.635381, 55.731807], [37.635955, 55.731436], [37.63631, 55.731569], [37.636648, 55.731354], [37.63723, 55.731464]], 'type': 'LineString'}",611.424,823.48
34,2633,4,"{'coordinates': [[37.630568, 55.736472], [37.630683, 55.736495], [37.630722, 55.736503], [37.630768, 55.73646], [37.630862, 55.736373], [37.62793, 55.735426], [37.627663, 55.733261], [37.627292, 55.732519], [37.626555, 55.731733], [37.625649, 55.730064], [37.625375, 55.730082], [37.624114, 55.730023], [37.624165, 55.729739], [37.623889, 55.729608], [37.623808, 55.729219], [37.623621, 55.729128], [37.623574, 55.728848], [37.62297, 55.728847], [37.62295, 55.728787]], 'type': 'LineString'}",878.47,1157.069
35,2633,5,"{'coordinates': [[37.630568, 55.736472], [37.630683, 55.736495], [37.630722, 55.736503], [37.630768, 55.73646], [37.630862, 55.736373], [37.62793, 55.735426], [37.627663, 55.733261], [37.627292, 55.732519], [37.626555, 55.731733], [37.625649, 55.730064], [37.625803, 55.72961], [37.625206, 55.727647], [37.625342, 55.726962], [37.625483, 55.726762], [37.625921, 55.726808], [37.625912, 55.726832], [37.625861, 55.726826], [37.62563, 55.726801], [37.625332, 55.726762], [37.62517, 55.727206]], 'type': 'LineString'}",998.569,1360.673
36,4200,0,"{'coordinates': [[37.63616, 55.742809], [37.636011, 55.742983], [37.636239, 55.743029], [37.638205, 55.740207], [37.63831, 55.740217], [37.638908, 55.737558], [37.641388, 55.733486], [37.639648, 55.732544], [37.640169, 55.732285], [37.641648, 55.730758], [37.641378, 55.730156], [37.640902, 55.730121]], 'type': 'LineString'}",1165.916,1655.039
37,4200,1,"{'coordinates': [[37.63616, 55.742809], [37.636011, 55.742983], [37.633166, 55.74237], [37.633476, 55.741978], [37.631929, 55.741627], [37.632106, 55.74141], [37.631857, 55.741347], [37.632001, 55.741162], [37.630497, 55.74086], [37.629778, 55.740813], [37.629801, 55.74077], [37.625663, 55.740903], [37.625664, 55.740775], [37.625659, 55.740638], [37.625048, 55.740608], [37.625051, 55.740978], [37.625142, 55.741124], [37.625692, 55.741177]], 'type': 'LineString'}",726.718,1006.877
38,4200,2,"{'coordinates': [[37.63616, 55.742809], [37.636011, 55.742983], [37.633166, 55.74237], [37.631439, 55.742266], [37.631442, 55.742218], [37.631188, 55.74219], [37.631096, 55.742301], [37.630942, 55.742298], [37.629873, 55.742239], [37.629562, 55.74231], [37.629394, 55.742217], [37.629237, 55.742202], [37.629246, 55.742269], [37.629391, 55.742293], [37.629478, 55.742377], [37.629394, 55.742494], [37.629326, 55.742457], [37.629323, 55.742415], [37.629317, 55.742346]], 'type': 'LineString'}",388.865,542.265
39,4200,3,"{'coordinates': [[37.63616, 55.742809], [37.636011, 55.742983], [37.636239, 55.743029], [37.638205, 55.740207], [37.63831, 55.740217], [37.638908, 55.737558], [37.641388, 55.733486], [37.638531, 55.731797], [37.63723, 55.731464]], 'type': 'LineString'}",1065.289,1514.49
